Respondent ID,Ad ID,BrandRecall_anchor_authenticity,Credibility_anchor_authenticity,Enjoyment_anchor_authenticity,Involvement_anchor_authenticity,Memory_anchor_authenticity,Optimisation_anchor_authenticity,Persuasion_anchor_authenticity,Relevance_anchor_authenticity,Understanding_anchor_authenticity,BrandRecall_anchor_brand_recall,BrandRecall_anchor_branding,Credibility_anchor_branding,Enjoyment_anchor_branding,Involvement_anchor_branding,Memory_anchor_branding,Optimisation_anchor_branding,Persuasion_anchor_branding,Relevance_anchor_branding,Understanding_anchor_branding,BrandRecall_anchor_confusion_clarity,Credibility_anchor_confusion_clarity,Enjoyment_anchor_confusion_clarity,Involvement_anchor_confusion_clarity,Memory_anchor_confusion_clarity,Optimisation_anchor_confusion_clarity,Persuasion_anchor_confusion_clarity,Relevance_anchor_confusion_clarity,Understanding_anchor_confusion_clarity,BrandRecall_anchor_credibility,Credibility_anchor_credibility,Enjoyment_anchor_credibility,Involvement_anchor_credibility,Memory_anchor_credibility,Optimisation_anchor_credibility,Persuasion_anchor_credibility,Relevance_anchor_credibility,Understanding_anchor_credibility,BrandRecall_anchor_enjoyability,Credibility_anchor_enjoyability,Enjoyment_anchor_enjoyability,Involvement_anchor_enjoyability,Memory_anchor_enjoyability,Optimisation_anchor_enjoyability,Persuasion_anchor_enjoyability,Relevance_anchor_enjoyability,Understanding_anchor_enjoyability,BrandRecall_anchor_involvement,Credibility_anchor_involvement,Enjoyment_anchor_involvement,Involvement_anchor_involvement,Memory_anchor_involvement,Optimisation_anchor_involvement,Persuasion_anchor_involvement,Relevance_anchor_involvement,Understanding_anchor_involvement,BrandRecall_anchor_personal_relevance,Credibility_anchor_personal_relevance,Enjoyment_anchor_personal_relevance,Involvement_anchor_personal_relevance,Memory_anchor_personal_relevance,Optimisation_anchor_personal_relevance,Persuasion_anchor_personal_relevance,Relevance_anchor_personal_relevance,Understanding_anchor_personal_relevance,BrandRecall_anchor_persuasion,Credibility_anchor_persuasion,Enjoyment_anchor_persuasion,Involvement_anchor_persuasion,Memory_anchor_persuasion,Optimisation_anchor_persuasion,Persuasion_anchor_persuasion,Relevance_anchor_persuasion,Understanding_anchor_persuasion,BrandRecall_anchor_relevance,Credibility_anchor_relevance,Enjoyment_anchor_relevance,Involvement_anchor_relevance,Memory_anchor_relevance,Optimisation_anchor_relevance,Persuasion_anchor_relevance,Relevance_anchor_relevance,Understanding_anchor_relevance,BrandRecall_anchor_reliability_durability,Credibility_anchor_reliability_durability,Enjoyment_anchor_reliability_durability,Involvement_anchor_reliability_durability,Memory_anchor_reliability_durability,Optimisation_anchor_reliability_durability,Persuasion_anchor_reliability_durability,Relevance_anchor_reliability_durability,Understanding_anchor_reliability_durability,BrandRecall_anchor_scepticism,Credibility_anchor_scepticism,Enjoyment_anchor_scepticism,Involvement_anchor_scepticism,Memory_anchor_scepticism,Optimisation_anchor_scepticism,Persuasion_anchor_scepticism,Relevance_anchor_scepticism,Understanding_anchor_scepticism,Understanding_anchor_understanding_accuracy,BrandRecall_anchor_value_for_money,Credibility_anchor_value_for_money,Enjoyment_anchor_value_for_money,Involvement_anchor_value_for_money,Memory_anchor_value_for_money,Optimisation_anchor_value_for_money,Persuasion_anchor_value_for_money,Relevance_anchor_value_for_money,Understanding_anchor_value_for_money,anchor_enjoyability_overall_mean,anchor_enjoyability_overall_std,anchor_involvement_overall_mean,anchor_involvement_overall_std,anchor_credibility_overall_mean,anchor_credibility_overall_std,anchor_persuasion_overall_mean,anchor_persuasion_overall_std,anchor_branding_overall_mean,anchor_branding_overall_std,anchor_confusion_clarity_overall_mean,anchor_confusion_clarity_overall_std,anchor_scepticism_overall_mean,anchor_scepticism_overall_std,anchor_authenticity_overall_mean,anchor_authenticity_overall_std,anchor_personal_relevance_overall_mean,anchor_personal_relevance_overall_std,anchor_relevance_overall_mean,anchor_relevance_overall_std,anchor_value_for_money_overall_mean,anchor_value_for_money_overall_std,anchor_reliability_durability_overall_mean,anchor_reliability_durability_overall_std,anchor_brand_recall_overall_mean,anchor_brand_recall_overall_std,anchor_understanding_accuracy_overall_mean,anchor_understanding_accuracy_overall_std,n_themes_scored,Order Shown,Brand,Ad / Platform
R00106,AD011,0.19225562,0.2766031,0.33871904,0.31887132,0.40018353,0.30458653,0.16487247,0.23587929,0.24062596,1.0,0.2881438,0.149673,0.40083045,0.19142467,0.43654642,0.381863,0.29585135,0.13068327,0.32439348,0.17748547,0.24179444,0.33328062,0.41948277,0.38830286,0.41785565,0.12560156,0.2848797,0.18264681,0.22522962,0.38571855,0.46707213,0.27926844,0.516284,0.3674596,0.26004642,0.20117968,0.28266236,0.2883483,0.15417749,0.46764606,0.3049216,0.49547896,0.34896263,0.19851461,0.13676603,0.21490756,0.29692915,0.20830214,0.45518303,0.5034093,0.5685163,0.5066188,0.27071625,0.18280038,0.2441922,0.2741268,0.19650649,0.3817423,0.2184165,0.3651595,0.35385978,0.2475224,0.32585907,0.19922918,0.23886144,0.3565497,0.33283153,0.23930345,0.443593,0.4401592,0.46264455,0.16847993,0.3511866,0.22694641,0.24277546,0.35189188,0.29824418,0.3817638,0.4004452,0.26810744,0.5411557,0.22674361,0.26324105,0.39874354,0.31231,0.1785878,0.4609119,0.36573073,0.34460932,0.15533903,0.47604132,0.15803531,0.30823085,0.4178467,0.3896135,0.39715928,0.35181865,0.17486887,0.2376097,0.17806834,0.7701109647750854,0.18663046,0.37507504,0.368002,0.21570715,0.35191178,0.32737133,0.4355501,0.17117062,0.33992347,0.28996924,0.12914069,0.35962975,0.14763716,0.33165786,0.10911753,0.33706772,0.10366173,0.28882328,0.110790774,0.2857033,0.11070481,0.29036126,0.10478954,0.27473298,0.07434693,0.28471357,0.07360274,0.3264526,0.103877276,0.3079269,0.093315125,0.3283905,0.113391064,1.0,,0.7701109647750854,,9,1,Anchor by Panasonic,Social Media Reel 15s
R00107,AD011,0.24112463,0.565787,0.39840323,0.32642716,0.51491636,0.26768366,0.07303637,0.37891564,0.31715992,1.0,0.40796262,0.3662817,0.14699744,0.2820239,0.48497665,0.35357448,0.15872277,0.20618398,0.46561387,0.25298864,0.41310245,0.37377617,0.37354377,0.36671916,0.21253024,0.09144831,0.42601183,0.30913025,0.3690005,0.63595575,0.28953174,0.35238725,0.5518756,0.47911134,0.16575767,0.35760447,0.4642836,0.40548408,0.3264196,0.32175112,0.32149625,0.5242035,0.2219292,0.100575455,0.24410637,0.37429702,0.4166817,0.36617807,0.33113617,0.5125862,0.53805715,0.2752699,0.15319923,0.3278789,0.41402644,0.28376892,0.32851058,0.23852745,0.30068082,0.43828645,0.25323743,0.16818634,0.4884939,0.3127076,0.339607,0.4080691,0.23878227,0.3998077,0.47907707,0.44391927,0.34453377,0.2625854,0.4064168,0.25760013,0.32858875,0.27242377,0.34282404,0.4416332,0.26138246,0.22182183,0.5185478,0.3138761,0.3264118,0.44329163,0.2156156,0.41874698,0.5187764,0.49266422,0.30508858,0.23943351,0.5376524,0.25055617,0.68797207,0.49219868,0.44469756,0.441301,0.27842486,0.097878225,0.44357324,0.2998256,0.8393884897232056,0.29292798,0.4410549,0.27159986,0.38680887,0.4169712,0.36787248,0.39834267,0.283806,0.38458627,0.31558475,0.12007845,0.37055707,0.11830274,0.40727866,0.14175397,0.36919984,0.08011577,0.3191486,0.12735645,0.3132501,0.1094488,0.38182527,0.17047153,0.34260598,0.14723332,0.31248882,0.09863319,0.32874423,0.09578107,0.36044112,0.06203625,0.38863122,0.12088613,1.0,,0.8393884897232056,,9,5,Anchor by Panasonic,Social Media Reel 15s
R00108,AD011,0.3383004,0.6061373,0.37202325,0.49716565,0.37984803,0.39814186,0.2579203,0.42307344,0.3083498,1.0,0.43380222,0.4868278,0.2029702,0.47205502,0.27426,0.5710905,0.2765397,0.22345199,0.44569266,0.3062709,0.45294958,0.25846,0.36987445,0.33151183,0.26653796,0.14332397,0.3044342,0.32136133,0.42656973,0.7796543,0.26552755,0.57531065,0.3136215,0.44337556,0.35917237,0.32027304,0.45004022,0.5123948,0.54166174,0.56978315,0.64087284,0.28684688,0.37306082,0.2948523,0.33564407,0.35888216,0.5853456,0.63482004,0.3374245,0.79951483,0.3292155,0.4129161,0.32627016,0.3544753,0.39243436,0.33986145,0.46525043,0.24287425,0.4290155,0.22038683,0.36485744,0.31516257,0.5468409,0.29223093,0.43845618,0.54947263,0.29081354,0.506257,0.2532905,0.4397236,0.59373164,0.28617394,0.40495563,0.3518152,0.47595218,0.24629956,0.4787575,0.2876532,0.3622445,0.35469192,0.59306324,0.31701496,0.3745241,0.544333,0.22296658,0.40009692,0.2972146,0.31977636,0.40664434,0.2521233,0.53220975,0.2963201,0.4950054,0.31540856,0.40931818,0.34952193,0.37409884,0.2083934,0.28083614,0.27683073,0.81880784034729,0.31892142,0.5139928,0.25436157,0.36621398,0.20306227,0.2940025,0.48005003,0.2250919,0.38025138,0.43488872,0.13181873,0.4636018,0.1693213,0.43706053,0.15857516,0.41809717,0.12129516,0.3762989,0.132863,0.30608046,0.08429428,0.33397037,0.084470086,0.39788446,0.103689045,0.3573867,0.1066134,0.3852769,0.109673485,0.33732754,0.108386114,0.37220988,0.11306138,1.0,,0.81880784034729,,9,5,Anchor by Panasonic,Social Media Reel 15s
R00109,AD011,0.24887313,0.60722035,0.4930029,,0.36532956,0.36793384,0.19367479,0.4668429,0.2778346,0.0,0.4073923,0.46730274,0.24972862,,0.4721419,0.39964145,0.21360199,0.2713295,0.3946762,0.2922532,0.35919127,0.24748436,,0.38716644,0.35973892,0.11857174,0.280129,0.2640618,0.37769112,0.84005076,0.35435385,,0.52712846,0.43183678,0.30206305,0.36240196,0.45130086,0.37946138,0.5329878,0.5412522,,0.44657272,0.3711803,0.22919542,0.36798155,0.34066647,0.39311484,0.5347161,0.3370424,,0.48838237,0.42665958,0.2658541,0.3940233,0.361105,0.28903842,0.4993514,0.30330023,,0.35273108,0.39236972,0.2583417,0.68851364,0.2866255,0.29281595,0.60250074,0.3102559,,0.4076169,0.4095903,0.52357656,0.3666032,0.36593214,0.24226227,0.4824778,0.30000877,,0.3484622,0.43080038,0.31054425,0.6412082,0.28815427,0.31138638,0.6059519,0.25910294,,0.492857,0.3056733,0.3857298,0.30232581,0.55924934,0.25454438,0.44597942,0.41118568,,0.38590515,0.3627427,0.16655964,0.3524266,0.23957251,0.8220956325531006,0.245353,0.59774625,0.30215812,,0.35736957,0.28486595,0.4855565,0.34339258,0.3553712,0.4011622,0.103349894,0.4001122,0.08470558,0.45585334,0.16990814,0.40986145,0.1051992,0.35947683,0.10040064,0.28857458,0.085395336,0.3273645,0.0965628,0.377589,0.1386691,0.38378397,0.14534879,0.38048977,0.13143973,0.37147665,0.11567992,0.40278456,0.13238618,0.0,,0.8220956325531006,,8,5,Anchor by Panasonic,Social Media Reel 15s
R00110,AD011,0.24081552,0.66587114,0.4641727,,0.18416259,0.3639344,0.33591843,0.43608254,0.29188353,1.0,0.38883144,0.48268694,0.2380315,,0.13889785,0.3897985,0.3610479,0.24500112,0.40337458,0.19744344,0.38560703,0.27715027,,0.13796155,0.41127932,0.16692291,0.27310082,0.3161357,0.26938945,0.783033,0.3053938,,0.15183824,0.4431236,0.37177286,0.3468966,0.44793528,0.27059624,0.5258409,0.54336196,,0.16031393,0.45307392,0.29824382,0.2644265,0.340276,0.2808665,0.5568906,0.37489,,0.1384859,0.48485065,0.32728544,0.33676118,0.36848167,0.18971683,0.5105433,0.28016987,,0.19096754,0.31357402,0.2733534,0.62371117,0.28332952,0.29108435,0.49469483,0.30461982,,0.15275459,0.36417937,0.54453635,0.3329237,0.36911723,0.15292698,0.5059274,0.28009865,,0.1898007,0.34848413,0.31805858,0.6738395,0.3078497,0.3206308,0.49309164,0.2851654,,0.26161155,0.31719816,0.43199003,0.2770957,0.52834976,0.21619873,0.5380439,0.36465237,,0.1457842,0.4317178,0.2475892,0.31357414,0.26928315,0.8264482617378235,0.23381586,0.5172617,0.29331258,,0.15603854,0.34798694,0.4322873,0.30561906,0.3563217,0.35701665,0.13675895,0.358564,0.12624899,0.38992286,0.18565321,0.35673878,0.121720985,0.33095872,0.112690344,0.27070013,0.09916339,0.31585544,0.12584747,0.3728551,0.15082374,0.3331707,0.15396239,0.3471232,0.1695819,0.33033046,0.11212206,0.36439162,0.104620986,1.0,,0.8264482617378235,,8,4,Anchor by Panasonic,Social Media Reel 15s
R00111,AD012,0.16408482,0.5082508,0.35453984,0.32677972,0.40399766,0.29003054,0.09467594,,,0.0,0.40284732,0.391368,0.14018881,0.15424222,0.43361154,0.35717833,0.16710538,,,0.30724853,0.4487025,0.35920435,0.38732246,0.39066783,0.32557118,0.11033289,,,0.22828831,0.6670381,0.26220256,0.25216922,0.5290797,0.52673924,0.14884144,,,0.20622179,0.37127334,0.26559627,0.3223582,0.5618207,0.22671388,0.113677554,,,0.22949587,0.42855868,0.28875878,0.4441852,0.61393225,0.2735986,0.1485912,,,0.22634739,0.3758414,0.2550101,0.2515584,0.42787123,0.24183257,0.17833006,,,0.3433084,0.4087976,0.20110154,0.2128677,0.44802144,0.46559623,0.28963557,,,0.1746764,0.36637807,0.29545945,0.26795247,0.43791854,0.26533195,0.21863425,,,0.2699862,0.45270088,0.2345781,0.2347002,0.35311005,0.43717805,0.2696605,,,0.19192126,0.66660815,0.47448775,0.39957762,0.35870865,0.3099699,0.123200245,,,,0.20192769,0.4681968,0.26117653,0.22652785,0.41706306,0.38705903,0.2774137,,,0.29538026,0.14378533,0.3467315,0.15774567,0.37347978,0.19685785,0.3384755,0.10813788,0.2923631,0.13170975,0.3327214,0.10851165,0.3606391,0.1805126,0.3060513,0.14044549,0.27954158,0.08865246,0.28947875,0.08872111,0.31990924,0.10314415,0.321702,0.09311697,0.0,,,,7,5,Philips,Regional TVC 30s (Tamil)
R00112,AD012,0.22312018,0.4765703,0.28501958,0.29607064,0.2517226,0.3361248,0.2536894,0.42153665,0.17121528,0.0,0.47013357,0.35890648,0.13945757,0.17478582,0.27930266,0.34710044,0.21353093,0.33318803,0.26340285,0.33934832,0.43019146,0.36980087,0.35000098,0.28141597,0.2479937,0.24708344,0.43340924,0.13770735,0.30250537,0.6680656,0.18527976,0.25083447,0.35360077,0.5403125,0.33010584,0.430401,0.2714715,0.25032437,0.3413402,0.37178302,0.33666024,0.32745528,0.2645291,0.24823725,0.29239458,0.22023146,0.28421438,0.40561712,0.31708103,0.45038962,0.36565512,0.33088958,0.2802453,0.43047017,0.21429309,0.2560794,0.3538518,0.12327341,0.21806015,0.32131377,0.29552722,0.21784669,0.45855865,0.18029943,0.37736166,0.410062,0.142212,0.27456206,0.3090443,0.48261094,0.4910651,0.4077486,0.33047217,0.20944715,0.35210556,0.16995685,0.26972058,0.32914343,0.31623566,0.2644217,0.5619473,0.22411267,0.32406735,0.47406605,0.18921384,0.19626114,0.2625833,0.4880119,0.3809759,0.41122925,0.2792695,0.2418073,0.61461264,0.4296006,0.4108815,0.26949355,0.3373475,0.2830192,0.50753134,0.15021494,0.7414387464523315,0.2536031,0.4760114,0.19541776,0.25681365,0.3477573,0.3757112,0.40312308,0.42642444,0.36536834,0.29477283,0.051889025,0.34209505,0.077772245,0.37028632,0.15245609,0.35834876,0.10924408,0.28664535,0.10297286,0.3152168,0.09602963,0.36050093,0.14432338,0.3016744,0.09646194,0.26942337,0.10065636,0.29967678,0.11483464,0.34447002,0.091542624,0.33396423,0.11160125,0.0,,0.7414387464523315,,9,1,Philips,Regional TVC 30s (Tamil)
R00113,AD012,0.27268088,0.7160611,0.54806644,0.47093707,0.3060923,0.22196971,0.2457094,0.46366534,0.24502456,0.0,0.4791414,0.47422755,0.5043979,0.43053553,0.28385976,0.5480994,0.34437475,0.27453607,0.36711994,0.37000215,0.36426213,0.40055823,0.33391714,0.35663843,0.23180525,0.14180583,0.4061839,0.34008363,0.31285334,0.7739416,0.5765753,0.481447,0.3737126,0.39169872,0.30165246,0.39265954,0.42635274,0.26101974,0.54108614,0.8083339,0.54006106,0.35956976,0.32380867,0.29252878,0.41409704,0.351166,0.33884963,0.51715237,0.6117525,0.65847856,0.39643005,0.40830964,0.2351885,0.51957583,0.3708722,0.23570946,0.45711032,0.44428197,0.3893833,0.33145225,0.29774934,0.20422262,0.5447091,0.25758234,0.38969392,0.57174146,0.46694773,0.5448821,0.30778515,0.5381599,0.43445268,0.32508135,0.3707069,0.23778252,0.4494484,0.41242588,0.42630595,0.36950713,0.29737958,0.23022586,0.606231,0.29731002,0.3105598,0.58175105,0.39007577,0.4829933,0.2308819,0.32556003,0.31123582,0.27109513,0.30763167,0.39894056,0.532713,0.4845754,0.43199208,0.29396552,0.26486036,0.1967344,0.3620812,0.26561046,0.805766224861145,0.29349634,0.5298869,0.43595916,0.45042932,0.3167898,0.32243517,0.41172326,0.26068622,0.38554597,0.43240792,0.17237143,0.45073435,0.13617085,0.44787705,0.14823543,0.4388279,0.09795109,0.41181028,0.09854412,0.32725075,0.08614985,0.35905254,0.11237295,0.38780075,0.1710668,0.35135564,0.114965424,0.36962402,0.11971959,0.37855023,0.08703728,0.35686493,0.1109298,0.0,,0.805766224861145,,9,2,Philips,Regional TVC 30s (Tamil)
R00114,AD012,0.2957954,0.4338855,0.32276434,0.33035874,0.35803273,0.46095884,0.22938798,0.43349406,0.26082963,0.0,0.30567008,0.16480012,0.1602364,0.19610533,0.50924027,0.38157284,0.39940456,0.22567858,0.39418215,0.39841062,0.41722682,0.36273152,0.38414046,0.34493893,0.25659424,0.27276105,0.49331892,0.33955893,0.23547222,0.55133766,0.22809033,0.28969687,0.41406953,0.48549938,0.4150697,0.36515012,0.42220384,0.2374399,0.20999469,0.2538891,0.3460016,0.37241274,0.39972436,0.29016948,0.28878435,0.3856424,0.31626183,0.28540632,0.2724477,0.4789164,0.46163133,0.38086176,0.3542277,0.3591015,0.40102628,0.25801325,0.26884836,0.22267742,0.21474484,0.38282046,0.42717978,0.28483254,0.50783414,0.25203237,0.20197801,0.25626442,0.2060829,0.27830076,0.4494257,0.3813347,0.5783597,0.27494085,0.3525865,0.24269456,0.29972285,0.2542196,0.27333117,0.38342994,0.42201403,0.30171862,0.5632667,0.2959287,0.19482523,0.34703496,0.20784482,0.20381902,0.3832146,0.30241963,0.38345066,0.22673583,0.28611183,0.33283034,0.47466165,0.48092124,0.44655958,0.33374414,0.37497455,0.302024,0.49967137,0.2847041,0.8482473492622375,0.19926159,0.3333622,0.23005879,0.25635433,0.38800764,0.29853493,0.41515517,0.26374057,0.3542477,0.30933985,0.069117285,0.36776453,0.07178317,0.37850997,0.11010138,0.3310304,0.12347431,0.30409893,0.1240961,0.36329794,0.07242635,0.39223233,0.083742216,0.3472786,0.08130351,0.31322035,0.10196043,0.33736956,0.10289531,0.30430254,0.073448226,0.28171742,0.07702609,0.0,,0.8482473492622375,,9,4,Philips,Regional TVC 30s (Tamil)
R00115,AD012,0.28438154,0.49805528,0.4430727,0.30240095,0.32471323,0.20815398,0.24695332,0.26534674,0.29431492,1.0,0.4287947,0.18460456,0.47286063,0.16482836,0.38494512,0.30447832,0.18209815,0.12819076,0.42360815,0.24978684,0.3399997,0.47814038,0.4023634,0.32224846,0.34124443,0.2248158,0.27120224,0.31087363,0.40940768,0.41690218,0.55277735,0.2563956,0.46377745,0.34225172,0.29997787,0.2166126,0.49293858,0.4882891,0.3427292,0.5301727,0.27763867,0.41221258,0.18854044,0.30669066,0.14500305,0.42953402,0.48482051,0.41119888,0.56954956,0.51129544,0.43350416,0.2571569,0.30254266,0.20053126,0.37349147,0.37264696,0.26856866,0.418777,0.21784788,0.343222,0.21849875,0.22120287,0.37307242,0.306556,0.38895312,0.31684613,0.3788067,0.23343462,0.3817801,0.3979691,0.42879292,0.18336344,0.46167055,0.33988148,0.3277436,0.4033554,0.28975883,0.34392682,0.26553065,0.26538375,0.57910925,0.30508107,0.29844856,0.283266,0.33974925,0.16529576,0.34738508,0.31949478,0.34598568,0.15788867,0.39126307,0.25512365,0.38930666,0.49317634,0.36916274,0.30315778,0.26380548,0.25284338,0.22248925,0.29453734,0.6905815005302429,0.31737536,0.26962852,0.4008602,0.24447346,0.40303457,0.5121883,0.4792156,0.17829299,0.4603988,0.34675673,0.13083632,0.39378786,0.12228115,0.383449,0.112665035,0.35240185,0.09133682,0.2971565,0.13412566,0.32674164,0.07801752,0.31595585,0.0861542,0.31859916,0.093491696,0.30448806,0.07668386,0.34664118,0.097347714,0.36282974,0.11578574,0.29430854,0.08137935,1.0,,0.6905815005302429,,9,5,Philips,Regional TVC 30s (Tamil)
R00116,AD012,0.13465588,0.48763216,0.42038998,0.27662444,0.31952664,0.4154596,0.31238064,0.44571128,0.35583493,0.0,0.17814296,0.3489626,0.17789991,0.1887591,0.46391296,0.3904659,0.19841252,0.23362416,0.4225577,0.15727508,0.4552439,0.42597434,0.38651043,0.4035087,0.36109358,0.37359998,0.46258885,0.42367852,0.14214936,0.63144225,0.31300068,0.24342887,0.50512236,0.50518614,0.2998336,0.3575854,0.5397226,0.14171,0.40986034,0.39789468,0.34581295,0.43862498,0.3129671,0.28902838,0.29375657,0.48671305,0.11117107,0.49614942,0.4569338,0.5207216,0.48335266,0.37189114,0.34731296,0.3825596,0.5266543,0.1631352,0.3705591,0.2786302,0.24828689,0.3533579,0.34661317,0.2608374,0.4274899,0.34738037,0.14151976,0.40912408,0.271869,0.23143065,0.36730382,0.37739056,0.30179986,0.2546509,0.4809868,0.09263957,0.3849366,0.33777457,0.28226572,0.3540326,0.384184,0.3155046,0.47601548,0.36390764,0.15055846,0.438209,0.23638491,0.20022371,0.3080768,0.33918926,0.22909497,0.22957335,0.42207247,0.113400556,0.59314686,0.48466152,0.37087083,0.34861055,0.3882156,0.43410966,0.5242498,0.36476976,0.6310930252075195,0.10743482,0.45196855,0.2686362,0.21537206,0.40500835,0.4555053,0.2872478,0.27131382,0.5402287,0.3462631,0.102439545,0.4107496,0.13052836,0.39305237,0.16014485,0.31511948,0.10355848,0.2891931,0.11633789,0.38327482,0.09152004,0.40244833,0.13602825,0.35202396,0.10691179,0.3106989,0.079736605,0.3323623,0.10478587,0.33363506,0.13786022,0.2837092,0.099711046,0.0,,0.6310930252075195,,9,5,Philips,Regional TVC 30s (Tamil)
R00117,AD012,0.22179513,0.5624916,0.5158757,0.40650377,0.33720076,0.3909885,0.26770708,0.4658162,0.30904084,0.5,0.5096019,0.55193627,0.47783294,0.24435508,0.42965525,0.40596044,0.29453474,0.24388258,0.38559863,0.3057005,0.34727284,0.4409761,0.33495122,0.37717238,0.4095257,0.18671066,0.30507052,0.2965734,0.393361,0.78446335,0.5671434,0.31068966,0.48478505,0.43509212,0.33200598,0.35357684,0.49794027,0.36591342,0.5505965,0.7767018,0.41208133,0.4557714,0.36107913,0.2996192,0.36912626,0.42322373,0.39532697,0.57697403,0.7219028,0.5924,0.5271436,0.41378903,0.34472233,0.37869942,0.365494,0.31791335,0.5183014,0.41597387,0.26057184,0.40054923,0.31966975,0.29882753,0.59168684,0.30924606,0.36608794,0.60413665,0.4765188,0.35961676,0.36442113,0.43304822,0.5459496,0.31984898,0.45441288,0.252517,0.5019116,0.42507553,0.35448968,0.39885125,0.35921547,0.33831382,0.6327604,0.31152225,0.30631623,0.56974083,0.36895746,0.26925504,0.31657004,0.43612263,0.34385774,0.2689787,0.4130398,0.2701829,0.41683617,0.47748816,0.3255936,0.34678605,0.4558672,0.24725103,0.3026311,0.2859103,0.6742271780967712,0.28882894,0.5350881,0.3986846,0.21498866,0.40389448,0.39461455,0.38698822,0.25215712,0.554489,0.44601256,0.14275466,0.4796058,0.13038534,0.46211752,0.14740789,0.43600455,0.09466061,0.39370644,0.11271755,0.3337726,0.07409551,0.34761629,0.08348836,0.38637996,0.11406803,0.38141555,0.111237146,0.3971841,0.11304944,0.38108152,0.1159501,0.36587095,0.09612318,0.5,,0.6742271780967712,,9,2,Philips,Regional TVC 30s (Tamil)
R00118,AD012,0.30162412,0.4030468,0.3647127,0.34062585,0.3110308,0.2316594,0.17844793,0.32863674,,0.0,0.45285687,0.11107645,0.21403581,0.17435697,0.38214877,0.31017187,0.09956213,0.094838515,,0.33391964,0.38846755,0.3590262,0.32493454,0.31353977,0.24524325,0.2472926,0.3034934,,0.46489522,0.43769947,0.29228294,0.2872473,0.45303148,0.31999907,0.27367875,0.22911446,,0.42602143,0.20164719,0.34821734,0.38645217,0.38206097,0.26421726,0.15312591,0.17488578,,0.46615392,0.26403868,0.30579334,0.4622733,0.40638977,0.28225234,0.23088539,0.21687026,,0.38514435,0.25212556,0.25672552,0.2245587,0.29091355,0.2891183,0.21005581,0.37847158,,0.37732986,0.28417453,0.21547726,0.23770438,0.43626922,0.412868,0.39587852,0.1830323,,0.34013176,0.2996377,0.2720547,0.28903857,0.31295213,0.3192169,0.2621277,0.57834864,,0.3149152,0.27271155,0.2224372,0.20489997,0.353988,0.38054374,0.27777132,0.15609731,,0.34560597,0.3695147,0.38257924,0.33951008,0.30955088,0.25920957,0.22028111,0.25832912,,,0.33041978,0.26575476,0.27800232,0.23596224,0.46719265,0.29968145,0.35846728,0.16935799,,0.2920785,0.10696564,0.3293321,0.10121031,0.34474358,0.09250021,0.31784177,0.09920482,0.22988093,0.13733084,0.31448963,0.04982137,0.3105726,0.05885209,0.30747303,0.07211081,0.28588918,0.06542323,0.33418852,0.10184741,0.30060482,0.08873649,0.27292055,0.076312184,0.0,,,,8,2,Philips,Regional TVC 30s (Tamil)
R00119,AD012,0.27392215,0.2979446,0.50550777,0.31281883,0.29463413,0.28995794,0.23629321,0.36514452,0.2842256,0.0,0.17881463,0.10126628,0.4635402,0.17629634,0.2778752,0.35630494,0.15943588,0.12159562,0.37647223,0.42009825,0.30186787,0.424978,0.41160205,0.2980274,0.39626688,0.2554497,0.34216645,0.301591,0.23210482,0.36970487,0.5628699,0.27486488,0.34541985,0.35244417,0.2694456,0.2545334,0.40141153,0.18741435,0.14170903,0.55180204,0.2933485,0.28759775,0.35544336,0.20968328,0.28108758,0.32640395,0.27550405,0.21877365,0.52599514,0.51671565,0.36856094,0.38214636,0.25934243,0.32796922,0.29142568,0.23883523,0.17659739,0.41871732,0.22121164,0.28888968,0.29679942,0.21779509,0.38149905,0.26635543,0.18061936,0.27491692,0.3568218,0.23531416,0.32495168,0.41450006,0.44854262,0.21025985,0.45256522,0.27682012,0.24893844,0.41061467,0.2762081,0.36093736,0.35621598,0.270284,0.559542,0.28267783,0.14528571,0.27265048,0.34885883,0.18150204,0.28106084,0.2674107,0.32451144,0.16470946,0.4119111,0.3118746,0.28224155,0.49699515,0.39808214,0.25754774,0.31842363,0.30140632,0.2922917,0.27679783,0.6192746162414551,0.1843763,0.24921863,0.41542828,0.21780668,0.38993883,0.3799783,0.3904066,0.18783456,0.42217198,0.2927211,0.118923806,0.3518259,0.10898474,0.340311,0.10165784,0.32205462,0.10310396,0.24573347,0.12787661,0.3502275,0.06406329,0.3261845,0.075377606,0.31782764,0.07818444,0.27852225,0.078886375,0.3380265,0.098963924,0.31524003,0.102532096,0.2664334,0.08931839,0.0,,0.6192746162414551,,9,1,Philips,Regional TVC 30s (Tamil)
