Ad ID,Enjoybility,Involve ,New dim ?,Creative reco,Link,,,,Listen,,,,,25,75%,,,,,,respid,adid,enjoyment,rel,memory ,,enjoyment,rel,memory ,,,anchor_enjoyment,anchor_rel,anchor_memory,,,cosine similarity(lesser distance is closer meaning )_enjoyment,cosine similarity(lesser distance is closer meaning )_rel,cosine similarity(lesser distance is closer meaning )_memory,score enjoyment,score rel,score memory
AD129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
